region,amount,venue,logistics,beautySalons,entertainment,videography,miscellaneous,decorations,food,eventType,side,totalGuests
hyderabad,1080000.0,200000.0,50000,30000.0,100000.0,100000.0,100000.0,0.0,500000.0,barat,bride,500
karachi,845000.0,250000.0,50000,50000.0,100000.0,45000.0,50000.0,0.0,300000.0,valima,groom,500
karachi,1175000.0,400000.0,0,100000.0,50000.0,50000.0,25000.0,50000.0,500000.0,valima,groom,450
hyderabad,31000.0,7000.0,2000,1500.0,4000.0,2500.0,3000.0,6000.0,50000.0,mayun,groom,100
karachi,41500.0,12000.0,15000,5000.0,1000.0,2000.0,2000.0,2000.0,130000.0,valima,groom,250
hyderabad,634000.0,180000.0,25000,60000.0,18000.0,65000.0,22000.0,14000.0,250000.0,barat,bride,800
hyderabad,40600.0,8000.0,6500,3000.0,2000.0,3500.0,5600.0,7000.0,500000.0,nikah,bride,150
tando allahyar,560000.0,50000.0,70000,80000.0,30000.0,50000.0,50000.0,30000.0,200000.0,valima,groom,2000
hyderabad,455000.0,100000.0,5000,80000.0,30000.0,90000.0,0.0,50000.0,100000.0,engagement ,bride,250
hyderabad,470000.0,150000.0,5000,40000.0,10000.0,50000.0,10000.0,5000.0,200000.0,barat,bride,400
tando allahyar,100000.0,15000.0,5000,15000.0,5000.0,20000.0,10000.0,10000.0,20000.0,mayun,groom,300
multan,520000.0,130000.0,50000,60000.0,0.0,30000.0,100000.0,50000.0,100000.0,barat,bride,500
tando allahyar,634000.0,180000.0,25000,60000.0,18000.0,65000.0,22000.0,14000.0,250000.0,barat,groom,1000
tando allahyar,550000.0,50000.0,0,50000.0,100000.0,50000.0,60000.0,40000.0,200000.0,barat,groom,200
tando allahyar,355000.0,150000.0,5000,50000.0,20000.0,50000.0,10000.0,20000.0,50000.0,nikah,groom,50
hyderabad,1375000.0,200000.0,100000,100000.0,15000.0,50000.0,100000.0,10000.0,800000.0,valima,groom,500
hyderabad,1185000.0,50000.0,0,50000.0,15000.0,150000.0,60000.0,60000.0,800000.0,barat,bride,1500
shahdadpur,965000.0,200000.0,0,10000.0,25000.0,160000.0,0.0,70000.0,500000.0,valima,groom,1200
hyderabad,1080000.0,200000.0,50000,30000.0,100000.0,100000.0,100000.0,0.0,500000.0,barat,bride,500
hyderabad,1185000.0,50000.0,0,50000.0,15000.0,150000.0,60000.0,60000.0,800000.0,barat,bride,1500
tando allahyar,634000.0,180000.0,25000,60000.0,18000.0,65000.0,22000.0,14000.0,250000.0,barat,groom,1000
hyderabad,1080000.0,200000.0,50000,30000.0,100000.0,100000.0,100000.0,0.0,500000.0,barat,bride,500
karachi,41500.0,12000.0,15000,5000.0,1000.0,2000.0,2000.0,2000.0,130000.0,valima,groom,250
tando allahyar,100000.0,15000.0,5000,15000.0,5000.0,20000.0,10000.0,10000.0,20000.0,mayun,groom,300
tando allahyar,100000.0,15000.0,5000,15000.0,5000.0,20000.0,10000.0,10000.0,20000.0,mayun,groom,300
hyderabad,634000.0,180000.0,25000,60000.0,18000.0,65000.0,22000.0,14000.0,250000.0,barat,bride,800
tando allahyar,355000.0,150000.0,5000,50000.0,20000.0,50000.0,10000.0,20000.0,50000.0,nikah,groom,50
hyderabad,634000.0,180000.0,25000,60000.0,18000.0,65000.0,22000.0,14000.0,250000.0,barat,bride,800
tando allahyar,100000.0,15000.0,5000,15000.0,5000.0,20000.0,10000.0,10000.0,20000.0,mayun,groom,300
multan,520000.0,130000.0,50000,60000.0,0.0,30000.0,100000.0,50000.0,100000.0,barat,bride,500
hyderabad,1375000.0,200000.0,100000,100000.0,15000.0,50000.0,100000.0,10000.0,800000.0,valima,groom,500
